N,P,K,temperature,humidity,ph,rainfall,label
30,61,48,23.15,89.94,7.78,141.23,orange
24,70,44,25.41,91.27,7.55,119.85,orange
28,63,49,22.68,90.38,7.91,135.74,orange
17,32,69,25.57,61.48,6.07,80.65,apple
20,28,65,23.42,93.48,6.35,112.34,apple
15,35,72,22.89,91.56,5.98,95.67,apple
22,30,68,24.15,92.34,6.42,105.23,apple
18,33,70,21.78,90.12,6.15,88.45,apple
19,27,66,25.03,93.87,5.85,110.56,apple
16,34,71,23.56,91.78,6.28,92.78,apple
21,29,67,22.34,92.56,6.05,101.34,apple
14,36,73,24.67,89.45,6.38,97.89,apple
23,31,64,21.12,94.12,5.92,108.67,apple
6,12,30,22.55,80.67,7.02,47.12,lentil
2,15,25,24.38,73.48,6.89,38.56,lentil
8,10,28,21.87,78.34,7.15,52.34,lentil
5,14,32,23.94,75.56,6.78,42.67,lentil
3,11,27,22.12,82.12,7.08,55.89,lentil
7,13,29,24.56,76.89,6.95,40.23,lentil
4,16,26,21.45,79.45,7.22,48.56,lentil
9,9,31,23.67,74.78,6.82,36.78,lentil
6,12,33,22.89,81.23,7.12,51.45,lentil
1,17,24,24.12,77.56,6.75,44.89,lentil
36,46,44,22.63,82.89,6.42,120.34,watermelon
28,52,40,25.18,84.56,6.15,95.67,watermelon
33,48,42,24.87,80.12,6.68,108.45,watermelon
40,44,46,21.45,83.78,6.35,115.23,watermelon
30,50,38,26.34,81.45,6.52,88.56,watermelon
35,47,43,23.56,85.12,6.78,101.34,watermelon
38,45,45,22.89,82.34,6.25,110.78,watermelon
32,51,41,25.67,84.89,6.45,92.12,watermelon
37,43,47,24.12,80.67,6.72,105.56,watermelon
29,53,39,21.78,83.45,6.58,98.89,watermelon
20,27,30,23.98,96.25,7.01,50.54,muskmelon
15,32,28,25.67,94.34,6.85,42.78,muskmelon
22,25,33,24.12,97.12,7.15,55.34,muskmelon
18,29,26,26.45,95.56,6.72,38.12,muskmelon
25,23,31,23.56,96.78,7.08,48.56,muskmelon
17,31,29,25.89,93.45,6.95,45.23,muskmelon
21,26,34,24.78,97.56,7.22,52.67,muskmelon
19,30,27,26.12,94.89,6.82,40.89,muskmelon
23,24,32,23.34,96.12,7.05,47.45,muskmelon
16,33,25,25.45,95.23,6.68,36.56,muskmelon
18,18,20,29.58,65.34,6.75,35.67,mango
22,15,18,30.12,62.78,6.92,28.45,mango
15,20,22,28.45,68.12,6.58,42.34,mango
20,16,19,31.34,64.56,6.82,32.56,mango
17,22,24,29.89,66.89,6.45,38.78,mango
23,14,17,30.67,63.45,6.95,25.89,mango
16,21,23,28.12,67.78,6.68,40.12,mango
19,17,21,31.56,65.12,6.55,30.23,mango
21,19,16,29.23,61.89,7.05,36.45,mango
14,23,25,30.45,69.34,6.38,44.56,mango
20,130,5,27.78,48.34,6.42,95.67,grapes
25,125,8,29.12,52.56,6.12,88.45,grapes
18,135,3,26.45,50.78,6.55,102.34,grapes
22,128,6,28.89,49.12,6.35,92.56,grapes
15,132,4,27.34,51.45,6.48,98.78,grapes
23,126,7,29.56,47.89,6.18,85.12,grapes
19,134,2,26.78,53.12,6.58,104.45,grapes
21,129,5,28.45,48.67,6.42,90.34,grapes
17,131,8,27.12,52.34,6.28,96.56,grapes
24,127,3,29.78,50.12,6.52,87.89,grapes
11,20,45,24.56,85.34,5.85,148.56,banana
15,18,50,26.78,82.12,6.12,135.23,banana
8,22,42,25.34,87.56,5.92,155.67,banana
13,16,48,27.12,83.89,6.05,128.45,banana
10,24,44,24.89,86.12,5.78,142.34,banana
14,19,47,26.45,84.45,6.18,138.56,banana
9,21,43,25.67,88.34,5.95,152.12,banana
12,17,49,27.56,81.78,6.08,130.89,banana
7,23,46,24.12,87.12,5.82,159.45,banana
16,15,51,26.89,83.12,6.22,125.67,banana
36,0,0,42.11,22.45,6.85,10.12,pomegranate
40,5,3,38.56,25.78,7.12,15.34,pomegranate
32,2,1,41.34,20.12,6.72,8.56,pomegranate
38,4,2,39.89,23.89,7.05,12.78,pomegranate
35,1,4,42.67,21.34,6.58,9.45,pomegranate
41,3,0,37.45,24.56,7.18,14.12,pomegranate
33,6,5,40.78,22.78,6.95,11.34,pomegranate
39,2,1,38.12,26.12,6.65,16.56,pomegranate
34,4,3,43.23,20.89,7.08,7.89,pomegranate
37,1,2,39.34,25.34,6.82,13.45,pomegranate
0,35,30,28.56,92.34,6.80,200.12,chickpea
5,30,25,26.78,88.56,7.05,185.67,chickpea
2,38,33,27.45,90.12,6.65,195.34,chickpea
4,32,28,29.12,91.78,6.92,178.45,chickpea
1,36,31,27.89,89.45,7.12,202.56,chickpea
6,29,26,28.34,93.12,6.75,188.12,chickpea
3,37,34,26.56,87.89,6.58,198.78,chickpea
7,31,27,29.67,92.56,7.18,175.23,chickpea
0,33,29,28.12,90.78,6.82,192.45,chickpea
4,34,32,27.23,88.12,6.95,205.34,chickpea
0,35,27,24.12,65.34,7.05,40.56,kidneybeans
3,30,22,22.56,62.78,7.25,35.12,kidneybeans
5,38,30,23.89,68.12,6.85,45.78,kidneybeans
2,32,25,25.34,64.56,7.15,38.34,kidneybeans
1,36,28,22.78,66.89,7.35,42.12,kidneybeans
4,29,23,24.56,63.45,6.92,36.56,kidneybeans
6,37,31,23.12,67.78,7.08,48.89,kidneybeans
3,33,26,25.89,65.12,7.28,34.23,kidneybeans
0,34,29,24.34,69.34,6.78,44.56,kidneybeans
5,31,24,22.45,61.89,7.42,37.89,kidneybeans
7,42,35,20.12,85.34,6.25,95.56,pigeonpeas
10,38,30,22.34,82.78,6.48,88.12,pigeonpeas
5,45,38,21.56,87.12,6.12,102.34,pigeonpeas
8,40,33,19.89,84.56,6.55,92.78,pigeonpeas
12,36,28,23.12,81.45,6.72,85.45,pigeonpeas
6,43,36,20.67,86.78,6.35,98.56,pigeonpeas
9,39,31,22.78,83.12,6.18,90.12,pigeonpeas
4,44,37,21.34,88.45,6.58,104.67,pigeonpeas
11,37,29,19.45,80.89,6.82,82.34,pigeonpeas
7,41,34,23.56,85.56,6.42,96.89,pigeonpeas
0,35,20,25.12,55.34,5.85,60.12,mothbeans
3,30,15,27.45,52.78,6.05,52.34,mothbeans
5,38,23,26.34,58.12,5.72,65.78,mothbeans
2,32,18,28.67,54.56,5.95,48.56,mothbeans
1,36,21,25.89,56.89,5.62,58.12,mothbeans
4,29,16,27.12,53.45,6.12,55.34,mothbeans
6,37,24,26.78,57.78,5.78,62.56,mothbeans
3,33,19,28.34,55.12,5.98,50.78,mothbeans
0,34,22,25.56,59.34,5.68,68.45,mothbeans
5,31,17,27.89,51.89,6.08,45.12,mothbeans
0,35,25,28.45,45.34,6.85,35.12,mungbean
3,30,20,30.12,42.78,7.05,28.56,mungbean
5,38,28,29.34,48.12,6.72,38.78,mungbean
2,32,23,31.56,44.56,6.92,32.34,mungbean
1,36,26,28.78,46.89,7.12,40.12,mungbean
4,29,21,30.67,43.45,6.65,30.56,mungbean
6,37,29,29.12,47.78,6.82,36.34,mungbean
3,33,24,31.34,45.12,7.18,25.78,mungbean
0,34,27,29.89,49.34,6.58,42.56,mungbean
5,31,22,30.45,41.89,6.95,33.12,mungbean
0,0,20,27.45,85.34,6.35,165.12,blackgram
5,5,15,25.78,82.78,6.55,152.56,blackgram
2,3,23,26.34,88.12,6.18,170.34,blackgram
4,2,18,28.12,84.56,6.42,158.78,blackgram
1,4,21,27.89,86.89,6.72,175.12,blackgram
3,6,16,25.34,83.45,6.28,148.34,blackgram
6,1,24,26.78,87.78,6.08,168.56,blackgram
0,7,19,28.56,85.12,6.48,155.12,blackgram
5,0,22,27.12,89.34,6.65,178.78,blackgram
2,8,17,25.89,81.89,6.38,145.56,blackgram
20,60,20,25.12,55.34,6.35,75.12,coffee
25,55,15,27.45,58.78,6.55,68.34,coffee
18,62,23,26.34,52.12,6.18,80.56,coffee
22,58,18,28.12,56.56,6.42,72.78,coffee
15,64,21,25.89,54.89,6.72,82.12,coffee
23,56,16,27.34,57.45,6.28,65.34,coffee
19,61,24,26.78,53.78,6.08,78.56,coffee
21,59,19,28.56,55.12,6.48,70.12,coffee
17,63,22,25.56,59.34,6.65,85.78,coffee
24,57,17,27.89,51.89,6.38,62.56,coffee
